Algorithm,Steps
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,2.0
Breadth-First Search,0.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,14.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,2.0
Breadth-First Search,10.0
Breadth-First Search,10.0
Breadth-First Search,4.0
Breadth-First Search,6.0
Breadth-First Search,6.0
Breadth-First Search,4.0
Breadth-First Search,10.0
Breadth-First Search,4.0
Breadth-First Search,10.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,12.0
Breadth-First Search,4.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,0.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,10.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,2.0
Breadth-First Search,12.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,10.0
Breadth-First Search,8.0
Breadth-First Search,12.0
Breadth-First Search,2.0
Breadth-First Search,4.0
Breadth-First Search,0.0
Breadth-First Search,2.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,4.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,0.0
Breadth-First Search,10.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,2.0
Breadth-First Search,6.0
Breadth-First Search,12.0
Breadth-First Search,4.0
Breadth-First Search,10.0
Breadth-First Search,14.0
Breadth-First Search,6.0
Breadth-First Search,6.0
Breadth-First Search,4.0
Breadth-First Search,4.0
Breadth-First Search,6.0
Breadth-First Search,4.0
Breadth-First Search,6.0
Breadth-First Search,10.0
Breadth-First Search,4.0
Breadth-First Search,4.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,2.0
Breadth-First Search,10.0
Breadth-First Search,2.0
Breadth-First Search,6.0
Breadth-First Search,6.0
Breadth-First Search,2.0
Breadth-First Search,6.0
Breadth-First Search,10.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,6.0
Breadth-First Search,2.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,4.0
Breadth-First Search,12.0
Breadth-First Search,14.0
Breadth-First Search,4.0
Breadth-First Search,4.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,12.0
Breadth-First Search,8.0
Breadth-First Search,0.0
Breadth-First Search,2.0
Breadth-First Search,2.0
Breadth-First Search,6.0
Breadth-First Search,4.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,14.0
Breadth-First Search,12.0
Breadth-First Search,6.0
Breadth-First Search,10.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,12.0
Breadth-First Search,8.0
Breadth-First Search,2.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,4.0
Breadth-First Search,4.0
Breadth-First Search,6.0
Breadth-First Search,10.0
Breadth-First Search,4.0
Breadth-First Search,2.0
Breadth-First Search,6.0
Breadth-First Search,6.0
Breadth-First Search,6.0
Breadth-First Search,2.0
Breadth-First Search,16.0
Breadth-First Search,8.0
Breadth-First Search,0.0
Breadth-First Search,10.0
Breadth-First Search,2.0
Breadth-First Search,10.0
Breadth-First Search,8.0
Breadth-First Search,2.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,14.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,6.0
Breadth-First Search,4.0
Breadth-First Search,14.0
Breadth-First Search,6.0
Breadth-First Search,10.0
Breadth-First Search,8.0
Breadth-First Search,10.0
Breadth-First Search,6.0
Breadth-First Search,10.0
Breadth-First Search,4.0
Breadth-First Search,2.0
Breadth-First Search,4.0
Breadth-First Search,4.0
Breadth-First Search,4.0
Breadth-First Search,12.0
Breadth-First Search,4.0
Breadth-First Search,4.0
Breadth-First Search,4.0
Breadth-First Search,4.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,10.0
Breadth-First Search,2.0
Breadth-First Search,0.0
Breadth-First Search,12.0
Breadth-First Search,14.0
Breadth-First Search,10.0
Breadth-First Search,6.0
Breadth-First Search,6.0
Breadth-First Search,6.0
Breadth-First Search,6.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,10.0
Breadth-First Search,12.0
Breadth-First Search,12.0
Breadth-First Search,6.0
Breadth-First Search,12.0
Breadth-First Search,4.0
Breadth-First Search,4.0
Breadth-First Search,6.0
Breadth-First Search,4.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,6.0
Breadth-First Search,10.0
Breadth-First Search,2.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,12.0
Breadth-First Search,12.0
Breadth-First Search,4.0
Breadth-First Search,4.0
Breadth-First Search,4.0
Breadth-First Search,6.0
Breadth-First Search,4.0
Breadth-First Search,4.0
Breadth-First Search,10.0
Breadth-First Search,4.0
Breadth-First Search,8.0
Breadth-First Search,2.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,10.0
Breadth-First Search,6.0
Breadth-First Search,6.0
Breadth-First Search,6.0
Breadth-First Search,2.0
Breadth-First Search,6.0
Breadth-First Search,2.0
Breadth-First Search,10.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,2.0
Breadth-First Search,12.0
Breadth-First Search,10.0
Breadth-First Search,6.0
Breadth-First Search,12.0
Breadth-First Search,6.0
Breadth-First Search,14.0
Breadth-First Search,4.0
Breadth-First Search,6.0
Breadth-First Search,4.0
Breadth-First Search,8.0
Breadth-First Search,10.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,2.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,10.0
Breadth-First Search,4.0
Breadth-First Search,6.0
Breadth-First Search,6.0
Breadth-First Search,12.0
Breadth-First Search,4.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,4.0
Breadth-First Search,10.0
Breadth-First Search,4.0
Breadth-First Search,2.0
Breadth-First Search,4.0
Breadth-First Search,12.0
Breadth-First Search,4.0
Breadth-First Search,4.0
Breadth-First Search,4.0
Breadth-First Search,6.0
Breadth-First Search,6.0
Breadth-First Search,10.0
Breadth-First Search,6.0
Breadth-First Search,10.0
Breadth-First Search,4.0
Breadth-First Search,2.0
Breadth-First Search,4.0
Breadth-First Search,12.0
Breadth-First Search,12.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,10.0
Breadth-First Search,10.0
Breadth-First Search,4.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,8.0
Breadth-First Search,2.0
Breadth-First Search,10.0
Breadth-First Search,6.0
Breadth-First Search,4.0
Breadth-First Search,8.0
Breadth-First Search,2.0
Breadth-First Search,2.0
Breadth-First Search,4.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,12.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,0.0
Breadth-First Search,8.0
Breadth-First Search,2.0
Breadth-First Search,6.0
Breadth-First Search,4.0
Breadth-First Search,12.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,10.0
Breadth-First Search,2.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,2.0
Breadth-First Search,4.0
Breadth-First Search,2.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,10.0
Breadth-First Search,12.0
Breadth-First Search,14.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,4.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,14.0
Breadth-First Search,10.0
Breadth-First Search,4.0
Breadth-First Search,2.0
Breadth-First Search,12.0
Breadth-First Search,2.0
Breadth-First Search,8.0
Breadth-First Search,2.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,10.0
Breadth-First Search,2.0
Breadth-First Search,4.0
Breadth-First Search,2.0
Breadth-First Search,4.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,12.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,4.0
Breadth-First Search,4.0
Breadth-First Search,6.0
Breadth-First Search,2.0
Breadth-First Search,6.0
Breadth-First Search,0.0
Breadth-First Search,6.0
Breadth-First Search,4.0
Breadth-First Search,6.0
Breadth-First Search,10.0
Breadth-First Search,10.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,6.0
Breadth-First Search,10.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,6.0
Breadth-First Search,6.0
Breadth-First Search,4.0
Breadth-First Search,6.0
Breadth-First Search,10.0
Breadth-First Search,4.0
Breadth-First Search,2.0
Breadth-First Search,4.0
Breadth-First Search,0.0
Breadth-First Search,6.0
Breadth-First Search,12.0
Breadth-First Search,8.0
Breadth-First Search,2.0
Breadth-First Search,4.0
Breadth-First Search,10.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,2.0
Breadth-First Search,12.0
Breadth-First Search,12.0
Breadth-First Search,12.0
Breadth-First Search,4.0
Breadth-First Search,4.0
Breadth-First Search,2.0
Breadth-First Search,8.0
Breadth-First Search,2.0
Breadth-First Search,8.0
Breadth-First Search,0.0
Breadth-First Search,2.0
Breadth-First Search,14.0
Breadth-First Search,4.0
Breadth-First Search,2.0
Breadth-First Search,4.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,10.0
Breadth-First Search,6.0
Breadth-First Search,4.0
Breadth-First Search,6.0
Breadth-First Search,2.0
Breadth-First Search,6.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,12.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,10.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,10.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,0.0
Breadth-First Search,10.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,4.0
Breadth-First Search,6.0
Breadth-First Search,2.0
Breadth-First Search,4.0
Breadth-First Search,0.0
Breadth-First Search,8.0
Breadth-First Search,2.0
Breadth-First Search,12.0
Breadth-First Search,2.0
Breadth-First Search,4.0
Breadth-First Search,4.0
Breadth-First Search,2.0
Breadth-First Search,6.0
Breadth-First Search,6.0
Breadth-First Search,10.0
Breadth-First Search,4.0
Breadth-First Search,6.0
Breadth-First Search,0.0
Breadth-First Search,4.0
Breadth-First Search,10.0
Breadth-First Search,2.0
Breadth-First Search,4.0
Breadth-First Search,10.0
Breadth-First Search,12.0
Breadth-First Search,10.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,12.0
Breadth-First Search,10.0
Breadth-First Search,2.0
Breadth-First Search,4.0
Breadth-First Search,2.0
Breadth-First Search,2.0
Breadth-First Search,6.0
Breadth-First Search,10.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,4.0
Breadth-First Search,2.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,6.0
Breadth-First Search,2.0
Breadth-First Search,12.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,2.0
Breadth-First Search,2.0
Breadth-First Search,4.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,14.0
Breadth-First Search,10.0
Breadth-First Search,4.0
Breadth-First Search,12.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,2.0
Breadth-First Search,4.0
Breadth-First Search,14.0
Breadth-First Search,2.0
Breadth-First Search,2.0
Breadth-First Search,12.0
Breadth-First Search,10.0
Breadth-First Search,10.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,6.0
Breadth-First Search,4.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,12.0
Breadth-First Search,2.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,2.0
Breadth-First Search,8.0
Breadth-First Search,10.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,4.0
Breadth-First Search,14.0
Breadth-First Search,4.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,12.0
Breadth-First Search,8.0
Breadth-First Search,2.0
Breadth-First Search,12.0
Breadth-First Search,8.0
Breadth-First Search,10.0
Breadth-First Search,10.0
Breadth-First Search,0.0
Breadth-First Search,4.0
Breadth-First Search,6.0
Breadth-First Search,6.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,2.0
Breadth-First Search,10.0
Breadth-First Search,6.0
Breadth-First Search,4.0
Breadth-First Search,10.0
Breadth-First Search,2.0
Breadth-First Search,4.0
Breadth-First Search,8.0
Breadth-First Search,2.0
Breadth-First Search,2.0
Breadth-First Search,6.0
Breadth-First Search,4.0
Breadth-First Search,6.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,2.0
Breadth-First Search,10.0
Breadth-First Search,10.0
Breadth-First Search,4.0
Breadth-First Search,4.0
Breadth-First Search,2.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,12.0
Breadth-First Search,4.0
Breadth-First Search,6.0
Breadth-First Search,12.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,2.0
Breadth-First Search,8.0
Breadth-First Search,0.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,4.0
Breadth-First Search,8.0
Breadth-First Search,12.0
Breadth-First Search,2.0
Breadth-First Search,6.0
Breadth-First Search,6.0
Breadth-First Search,16.0
Breadth-First Search,10.0
Breadth-First Search,2.0
Breadth-First Search,12.0
Breadth-First Search,10.0
Breadth-First Search,10.0
Breadth-First Search,10.0
Breadth-First Search,10.0
Breadth-First Search,6.0
Breadth-First Search,6.0
Breadth-First Search,10.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,10.0
Breadth-First Search,6.0
Breadth-First Search,12.0
Breadth-First Search,4.0
Breadth-First Search,6.0
Breadth-First Search,4.0
Breadth-First Search,6.0
Breadth-First Search,2.0
Breadth-First Search,12.0
Breadth-First Search,8.0
Breadth-First Search,10.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,4.0
Breadth-First Search,4.0
Breadth-First Search,12.0
Breadth-First Search,6.0
Breadth-First Search,4.0
Breadth-First Search,10.0
Breadth-First Search,2.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,4.0
Breadth-First Search,10.0
Breadth-First Search,4.0
Breadth-First Search,12.0
Breadth-First Search,4.0
Breadth-First Search,8.0
Breadth-First Search,10.0
Breadth-First Search,4.0
Breadth-First Search,6.0
Breadth-First Search,12.0
Breadth-First Search,12.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,2.0
Breadth-First Search,10.0
Breadth-First Search,10.0
Breadth-First Search,4.0
Breadth-First Search,10.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,4.0
Breadth-First Search,10.0
Breadth-First Search,6.0
Breadth-First Search,2.0
Breadth-First Search,8.0
Breadth-First Search,2.0
Breadth-First Search,6.0
Breadth-First Search,6.0
Breadth-First Search,2.0
Breadth-First Search,12.0
Breadth-First Search,14.0
Breadth-First Search,6.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,10.0
Breadth-First Search,2.0
Breadth-First Search,6.0
Breadth-First Search,10.0
Breadth-First Search,10.0
Breadth-First Search,4.0
Breadth-First Search,6.0
Breadth-First Search,4.0
Breadth-First Search,4.0
Breadth-First Search,4.0
Breadth-First Search,8.0
Breadth-First Search,10.0
Breadth-First Search,2.0
Breadth-First Search,4.0
Breadth-First Search,10.0
Breadth-First Search,4.0
Breadth-First Search,4.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,10.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,4.0
Breadth-First Search,8.0
Breadth-First Search,10.0
Breadth-First Search,2.0
Breadth-First Search,4.0
Breadth-First Search,6.0
Breadth-First Search,6.0
Breadth-First Search,2.0
Breadth-First Search,14.0
Breadth-First Search,6.0
Breadth-First Search,10.0
Breadth-First Search,4.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,14.0
Breadth-First Search,4.0
Breadth-First Search,4.0
Breadth-First Search,10.0
Breadth-First Search,12.0
Breadth-First Search,4.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,10.0
Breadth-First Search,10.0
Breadth-First Search,6.0
Breadth-First Search,6.0
Breadth-First Search,10.0
Breadth-First Search,10.0
Breadth-First Search,6.0
Breadth-First Search,6.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,4.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,2.0
Breadth-First Search,8.0
Breadth-First Search,8.0
Breadth-First Search,6.0
Breadth-First Search,6.0
Breadth-First Search,8.0
Breadth-First Search,10.0
Breadth-First Search,6.0
Breadth-First Search,6.0
Breadth-First Search,4.0
Breadth-First Search,10.0
Breadth-First Search,10.0
Breadth-First Search,10.0
Breadth-First Search,4.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,2.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
Depth-First Search,20.0
